time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-01-27T03:17:35.860Z,40.5159,28.8116,10,3,ml,7,175,1.312,0.67,us,us7000luk3,2024-03-30T22:34:46.040Z,"16 km NNW of Mudanya, Turkey",earthquake,3.39,1.988,0.097,14,reviewed,us,us
2023-12-17T20:53:53.586Z,40.73,29.0587,12.447,4.2,mb,37,38,1.363,1.08,us,us7000ljqy,2024-02-27T22:57:00.040Z,"10 km NNW of Çınarcık, Turkey",earthquake,4.4,5.101,0.186,8,reviewed,us,us
2023-12-04T07:42:20.496Z,40.4371,28.848,10.117,5.1,mww,104,32,1.306,0.63,us,us7000lg2l,2024-02-10T23:47:29.040Z,"7 km NNW of Mudanya, Turkey",earthquake,4.14,3.646,0.071,19,reviewed,us,us
2022-02-06T12:07:52.856Z,40.5313,28.9725,11,4.2,mb,,56,1.223,0.55,us,us7000gig8,2022-04-19T17:38:47.040Z,"11 km SSW of Kocadere, Turkey",earthquake,2.2,6.4,0.186,8,reviewed,us,us
2021-06-19T12:07:52.133Z,40.9881,29.1424,9.81,3.5,ml,,87,1.492,0.99,us,us7000ef27,2024-02-16T11:52:57.489Z,"2 km ENE of Ata?ehir, Turkey",earthquake,4.5,7.3,0.077,22,reviewed,us,us
2020-04-13T23:56:37.740Z,41.6034,28.7473,10,3.3,ml,,73,2.069,1.03,us,us70008vrx,2020-06-30T14:03:07.040Z,"33 km N of Durusu, Turkey",earthquake,4.6,2,0.085,18,reviewed,us,us
2020-03-08T04:21:05.388Z,40.7105,29.2313,10,4.4,mb,,51,1.249,0.75,us,us60008bx1,2020-05-23T22:03:32.040Z,"7 km NNW of Yalova, Turkey",earthquake,4.1,1.9,0.203,7,reviewed,us,us
2019-10-10T16:52:03.151Z,40.7283,29.2125,10,4.3,mb,,55,1.272,0.69,us,us70005t3c,2019-12-28T20:45:47.040Z,"9 km NNE of Koruköy, Turkey",earthquake,3.7,1.9,0.306,3,reviewed,us,us
2019-01-05T04:20:15.070Z,40.4257,28.357,10,3.7,ml,,103,1.696,0.74,us,us2000j0fw,2019-03-08T17:50:16.040Z,"23 km N of Karacabey, Turkey",earthquake,4.1,1.3,0.076,23,reviewed,us,us
2018-12-20T06:34:25.190Z,40.6063,28.9761,10,4.3,mb,,24,0.714,0.67,us,us2000iv9d,2019-02-23T20:20:44.040Z,"5 km WSW of Kocadere, Turkey",earthquake,2.1,1.9,0.138,15,reviewed,us,us
2018-11-30T02:36:35.720Z,40.595,28.955,10,4.2,mb,,44,1.713,1.19,us,us1000hy6z,2019-02-09T19:02:08.040Z,"7 km WSW of Kocadere, Turkey",earthquake,5.3,1.9,0.215,6,reviewed,us,us
2016-07-17T08:55:41.580Z,40.7118,29.18,7.4,4.2,mb,,,,0.65,us,us20006fbz,2016-09-17T01:27:48.040Z,"6 km NNE of Koruköy, Turkey",earthquake,5,5.3,0.305,3,reviewed,isk,us
2016-06-25T05:40:11.000Z,40.7032,29.2147,6.8,4.1,mb,,,,0.83,us,us200066rf,2016-08-31T03:08:15.040Z,"6 km NE of Koruköy, Turkey",earthquake,5.2,5.7,0.158,11,reviewed,isk,us
2015-11-16T15:45:44.660Z,40.8751,28.7644,9.27,4.4,mb,,54,1.407,0.76,us,us10003ypf,2022-08-01T18:08:07.598Z,"14 km SSE of Yakuplu, Turkey",earthquake,4.8,3.5,0.239,5,reviewed,us,us
2014-08-03T22:22:45.390Z,40.6243,29.2073,10.04,4,mb,,40,1.524,0.92,us,usb000rzq2,2022-08-07T00:53:33.636Z,"1 km WNW of Kad?köy, Turkey",earthquake,,5,0.126,17,reviewed,us,us
2014-02-05T01:56:44.100Z,41.3725,28.6327,12,3.8,ml,,,,0.77,us,usc000mj1p,2014-04-22T18:30:05.000Z,"8 km NNW of Durusu, Turkey",earthquake,,5.4,,,reviewed,isk,isk
2013-08-29T09:03:24.190Z,40.4567,29.1227,3.2,3.3,ml,,,,2.36,us,usb000jd2z,2013-11-06T01:33:32.000Z,"2 km SE of Küçükkumla, Turkey",earthquake,,6.7,,,reviewed,us_isk,us_isk
2013-08-17T18:16:31.000Z,40.4095,29.1213,5.7,4.1,mb,,,,0.7,us,usb000j5ms,2013-10-19T02:41:48.000Z,"4 km SW of Gemlik, Turkey",earthquake,,6.3,0.198,,reviewed,us_isk,us
2011-08-16T17:30:06.730Z,40.439,28.895,5.1,4,ml,25,88.3,,,us,usp000j6ja,2014-11-07T01:45:37.345Z,"7 km N of Mudanya, Turkey",earthquake,,,,,reviewed,isk,isk
2011-01-20T02:09:37.000Z,40.71,29.763,11.8,4.1,mb,57,48.6,,,us,usp000htcm,2014-11-07T01:43:27.831Z,"1 km SE of Hal?dere, Turkey",earthquake,,,,4,reviewed,isk,us
2010-06-11T10:56:44.000Z,40.43,28.925,12.1,4.3,ml,57,33,,,us,usp000hdud,2014-11-07T01:41:40.026Z,"7 km NNE of Mudanya, Turkey",earthquake,,,,,reviewed,isk,the
2010-05-15T14:08:23.000Z,41.183,30.121,8.9,4.3,ml,45,54,,,us,usp000hcss,2014-11-07T01:41:29.464Z,"9 km W of Kefken, Turkey",earthquake,,,,,reviewed,isk,isk
2008-10-22T01:00:35.000Z,40.748,29.174,9.4,3.6,ml,10,123.8,,,us,usp000gksg,2014-11-07T01:37:31.232Z,"10 km N of Koruköy, Turkey",earthquake,,,,,reviewed,isk,isk
2008-10-05T06:04:05.000Z,40.65,29.017,8.5,4.1,ml,18,53.6,,,us,usp000gjc6,2014-11-07T01:37:23.826Z,"2 km NNW of Kocadere, Turkey",earthquake,,,,,reviewed,isk,isk
2008-07-09T04:54:48.000Z,40.466,28.721,2.8,3.6,ml,5,199.5,,,us,usp000gbq2,2014-11-07T01:36:35.962Z,"16 km NW of Mudanya, Turkey",earthquake,,,,,reviewed,isk,isk
2008-06-29T08:28:01.000Z,40.459,29.021,5,3.9,md,14,112.3,,,us,usp000gaxf,2014-11-07T01:36:27.978Z,"6 km W of Küçükkumla, Turkey",earthquake,,,,,reviewed,isk,ath
2008-03-12T18:53:31.000Z,40.621,29.011,11.2,4.3,mb,176,24,,,us,usp000g1ba,2024-01-17T20:55:25.100Z,"1 km WSW of Kocadere, Turkey",earthquake,,,,16,reviewed,isk,us
2007-12-07T04:40:11.000Z,41.679,28.476,8.2,3.4,md,8,285.8,,,us,usp000ftz4,2014-11-07T01:34:22.063Z,"31 km NNE of Karacaköy, Turkey",earthquake,,,,,reviewed,isk,isk
2007-10-25T11:02:32.390Z,40.851,28.694,5.4,2.7,md,13,66.2,,,us,usp000fr85,2014-11-07T01:33:59.305Z,"15 km SSE of Beylikdüzü, Turkey",earthquake,,,,,reviewed,isk,isk
2007-08-01T19:03:09.850Z,40.754,30.082,10,3.9,ml,14,106.3,,1.06,us,usp000fhmg,2014-11-07T01:33:09.354Z,"6 km ENE of Köseköy, Turkey",earthquake,,,,,reviewed,us,isk
2007-05-10T12:01:43.120Z,40.654,29.007,5.5,2.8,md,17,48.5,,,us,usp000fbp8,2014-11-07T01:32:26.474Z,"3 km NW of Kocadere, Turkey",earthquake,,,,,reviewed,isk,isk
2007-02-10T12:55:51.570Z,40.576,28.358,16.6,2.8,md,7,88,,,us,usp000f4mj,2014-11-07T01:31:36.324Z,"40 km N of Karacabey, Turkey",earthquake,,,,,reviewed,isk,isk
2007-02-08T13:18:16.930Z,40.84,28.709,10.7,2.8,md,7,142.3,,,us,usp000f4ge,2014-11-07T01:31:35.684Z,"Western Turkey",earthquake,,,,,reviewed,isk,isk
2007-01-28T18:06:59.000Z,40.586,28.39,6.4,4,ml,31,47.8,,,us,usp000f3u8,2014-11-07T01:31:28.526Z,"41 km N of Karacabey, Turkey",earthquake,,,,,reviewed,isk,the
2007-01-14T08:27:45.510Z,40.702,29.156,13.2,2.7,md,8,83.7,,,us,usp000f2hf,2014-11-07T01:31:22.607Z,"5 km N of Koruköy, Turkey",earthquake,,,,,reviewed,isk,isk
2007-01-08T23:33:22.700Z,40.42,28.99,5.4,3.1,md,20,52.1,,,us,usp000f20c,2014-11-07T01:31:20.108Z,"10 km ENE of Mudanya, Turkey",earthquake,,,,,reviewed,isk,isk
2006-12-31T04:15:24.400Z,40.489,29.167,5,2.6,md,9,87.7,,,us,usp000f1d9,2014-11-07T01:31:13.531Z,"5 km ENE of Küçükkumla, Turkey",earthquake,,,,,reviewed,isk,isk
2006-12-28T07:04:04.900Z,40.447,30.31,7,2.8,md,10,140.5,,,us,usp000f165,2014-11-07T01:31:12.753Z,"6 km SSE of Geyve, Turkey",earthquake,,,,,reviewed,isk,isk
2006-12-25T02:37:52.100Z,40.431,28.983,14,2.5,md,6,161.8,,,us,usp000f0y0,2014-11-07T01:31:11.297Z,"10 km NE of Mudanya, Turkey",earthquake,,,,,reviewed,isk,isk
2006-12-24T09:14:16.500Z,40.438,28.802,17,2.6,md,6,156.5,,,us,usp000f0w6,2014-11-07T01:31:11.083Z,"9 km NW of Mudanya, Turkey",earthquake,,,,,reviewed,isk,isk
2006-10-28T15:28:26.000Z,40.642,29.233,5.6,3.3,ml,11,229.3,,,us,usp000ew6f,2014-11-07T01:30:38.502Z,"2 km NNE of Kad?köy, Turkey",earthquake,,,,,reviewed,isk,isk
2006-10-25T11:56:03.840Z,40.423,28.996,14.6,3.7,ml,26,68.1,,,us,usp000ew07,2014-11-07T01:30:37.798Z,"10 km WSW of Küçükkumla, Turkey",earthquake,,,,,reviewed,isk,isk
2006-10-25T11:12:07.020Z,40.468,29.064,15.8,2.9,ml,8,130.2,,,us,usp000ew03,2014-11-07T01:30:37.789Z,"3 km W of Küçükkumla, Turkey",earthquake,,,,,reviewed,isk,isk
2006-10-24T14:00:21.670Z,40.424,29.107,9.3,5,mwc,227,29.8,,1.15,us,usp000evxq,2022-07-14T09:12:26.819Z,"4 km W of Gemlik, Turkey",earthquake,,,,,reviewed,us,gcmt
2006-04-27T13:15:42.580Z,40.612,29.256,6.7,2.8,md,11,198.2,,,us,usp000efmc,2014-11-07T01:28:55.508Z,"2 km ESE of Kad?köy, Turkey",earthquake,,,,,reviewed,isk,isk
2006-04-27T11:56:30.290Z,40.613,29.284,7.2,2.8,md,7,239,,,us,usp000efm8,2014-11-07T01:28:55.501Z,"4 km S of Yalova, Turkey",earthquake,,,,,reviewed,isk,isk
2006-03-16T10:03:30.880Z,40.686,30.321,12.5,3.3,md,9,143.7,,,us,usp000ec97,2014-11-07T01:28:32.092Z,"4 km E of Sapanca, Turkey",earthquake,,,,,reviewed,isk,isk
2006-03-16T10:01:09.270Z,40.699,30.326,19.3,3.1,md,10,144.5,,,us,usp000ec96,2014-11-07T01:28:32.091Z,"5 km E of Sapanca, Turkey",earthquake,,,,,reviewed,isk,isk
2005-12-28T15:41:47.000Z,40.477,29.158,5,2.5,md,5,150.3,,,us,usp000e73r,2014-11-07T01:27:57.865Z,"4 km E of Küçükkumla, Turkey",earthquake,,,,,reviewed,isk,isk
2005-11-26T22:27:49.000Z,40.663,29.081,9.1,3.7,md,8,134.1,,,us,usp000e4z4,2014-11-07T01:27:44.185Z,"4 km WNW of Ç?narc?k, Turkey",earthquake,,,,,reviewed,isk,ath
2005-04-30T21:11:57.620Z,40.71,30.292,5.3,3.2,md,12,145.1,,,us,usp000dpmk,2014-11-07T01:25:43.073Z,"2 km NE of Sapanca, Turkey",earthquake,,,,,reviewed,isk,isk
2005-04-25T12:45:55.360Z,40.675,30.115,5.8,2.9,md,13,140.3,,,us,usp000dp6p,2014-11-07T01:25:40.922Z,"11 km SE of Köseköy, Turkey",earthquake,,,,,reviewed,isk,isk
2005-03-23T13:55:06.970Z,40.637,30.177,8.7,3,ml,7,219.2,,,us,usp000djwa,2014-11-07T01:25:18.160Z,"9 km SW of Sapanca, Turkey",earthquake,,,,,reviewed,isk,isk
2005-02-05T07:35:22.490Z,40.658,29.095,22.7,2.7,md,7,112.9,,,us,usp000dfhp,2014-11-07T01:24:56.170Z,"2 km WNW of Ç?narc?k, Turkey",earthquake,,,,,reviewed,isk,isk
2004-11-24T18:14:06.200Z,40.6,29.007,9.7,2.8,md,9,124.5,,,us,usp000d944,2014-11-07T01:24:04.771Z,"3 km SSW of Kocadere, Turkey",earthquake,,,,,reviewed,isk,isk
2004-10-22T19:10:12.200Z,40.969,30.227,10,2.9,md,11,228.8,,,us,usp000d6ut,2014-11-07T01:23:47.745Z,"9 km SW of Kaynarca, Turkey",earthquake,,,,,reviewed,isk,isk
2004-09-29T15:51:28.740Z,40.777,29.041,10.8,3.2,md,15,104.2,,,us,usp000d5au,2014-11-07T01:23:35.187Z,"11 km SSW of Adalan, Turkey",earthquake,,,,,reviewed,isk,isk
2004-09-29T15:42:07.670Z,40.781,29.02,12.5,4,ml,48,48.4,,,us,usp000d5at,2014-11-07T01:23:35.183Z,"12 km SSW of Adalan, Turkey",earthquake,,,,,reviewed,isk,isk
2004-05-31T10:01:42.500Z,41.066,29.324,12,2.6,md,7,152.9,,,us,usp000cwqq,2014-11-07T01:22:26.690Z,"10 km NE of Sancaktepe, Turkey",earthquake,,,,,reviewed,isk,isk
2004-05-31T00:36:04.900Z,40.725,30.006,10,2.6,md,12,169.7,,,us,usp000cwpa,2014-11-07T01:22:26.519Z,"1 km E of Kullar, Turkey",earthquake,,,,,reviewed,isk,isk
2004-05-25T05:40:48.700Z,40.438,29.135,8,3.7,md,42,31.6,,,us,usp000cw5c,2014-11-07T01:22:23.983Z,"2 km WNW of Gemlik, Turkey",earthquake,,,,,reviewed,isk,isk
2004-05-24T13:55:41.600Z,40.591,29.23,6,2.5,ml,20,70.4,,,us,usp000cw2y,2014-11-07T01:22:23.708Z,"3 km S of Kad?köy, Turkey",earthquake,,,,,reviewed,isk,isk
2004-05-23T15:29:21.500Z,41.069,29.336,15,2.8,md,10,148.9,,,us,usp000cw02,2014-11-07T01:22:23.293Z,"11 km NE of Sancaktepe, Turkey",earthquake,,,,,reviewed,isk,isk
2004-05-22T10:02:30.600Z,41.029,29.319,11,2.8,md,17,129.3,,,us,usp000cvvr,2014-11-07T01:22:22.625Z,"7 km ENE of Sancaktepe, Turkey",earthquake,,,,,reviewed,isk,isk
2004-05-21T12:44:26.500Z,40.812,29.497,8,2.5,md,8,106.1,,,us,usp000cvsf,2014-11-07T01:22:22.055Z,"1 km WSW of Tav?anl?, Turkey",earthquake,,,,,reviewed,isk,isk
2004-05-21T12:06:19.600Z,40.575,30.293,9,2.8,md,17,160.6,,,us,usp000cvs7,2014-11-07T01:22:22.041Z,"7 km N of Geyve, Turkey",earthquake,,,,,reviewed,isk,isk
2004-05-21T11:20:44.700Z,40.81,29.465,8,2.6,md,14,62.2,,,us,usp000cvs2,2014-11-07T01:22:22.032Z,"3 km ENE of Gebze, Turkey",earthquake,,,,,reviewed,isk,isk
